Iter 24: EXP-20260320082112-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 59: EXP-20260331154332-55 | Verdict: promising | Sharpe: 0.998 | Key: Cross-asset generalization validated: BTC outperforms ETH baseline
Iter 64: EXP-20260401061900-01 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 65: EXP-20260402081416-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 66: EXP-20260402084833-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 67: EXP-20260402121802-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 68: EXP-20260402133917-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 69: EXP-20260402141107-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 70: EXP-20260402142032-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 71: EXP-20260402142813-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 72: EXP-20260402143332-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 73: EXP-20260402144417-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 74: EXP-20260402145022-01 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 75: EXP-20260402145415-01 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 76: EXP-20260402150133-01 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 77: EXP-20260402150537-01 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 78: EXP-20260402160524-01 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 79: EXP-20260402160656-01 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 80: EXP-20260402161127-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 81: EXP-20260402164917-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 82: EXP-20260402165235-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 83: EXP-20260402165746-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 84: EXP-20260402170622-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 85: EXP-20260402170855-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 86: EXP-20260402172516-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 87: EXP-20260402172946-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 88: EXP-20260402174047-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 89: EXP-20260402174548-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 90: EXP-20260402175012-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 91: EXP-20260402175311-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 92: EXP-20260402181428-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 93: EXP-20260402181741-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 94: EXP-20260402182445-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 95: EXP-20260403070413-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 96: EXP-20260403070910-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 97: EXP-20260403071321-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 98: EXP-20260403071734-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 99: EXP-20260403072456-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 100: EXP-20260403072822-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 101: EXP-20260403073438-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 102: EXP-20260403074134-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 103: EXP-20260403074639-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 104: EXP-20260403075042-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 105: EXP-20260403122706-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 106: EXP-20260403122948-02 | Verdict: inconclusive | Sharpe: N/A | Key: Persistent state and artifact writing work end-to-end.
Iter 110: EXP-20260403123500-01 | Verdict: promising_with_caveats | Sharpe: 0.4894 | Key: Cross-asset generalization gap confirmed
Iter 111: EXP-20260404000000-NN | Verdict: inconclusive | Sharpe: N/A | Key: Planner must verify strategy directories exist before referencing them in execut
Iter 114: EXP-20260404080753-bnb | Verdict: promising_with_caveats | Sharpe: 0.432 | Key: BNB is the worst-performing asset in EMA Trend Gate series
Iter 126: EXP-20260404133920-01 | Verdict: promising | Sharpe: 1.2751 | Key: BNB exchange token volatility regime responds to asset-specific parameter tuning
Iter 150: EXP-20260405132700-01 | Verdict: promising_with_caveats | Sharpe: 0.6636 | Key: Fixed parameter robustness test exposes overfitting to original optimization win
Iter 156: EXP-20260405180000-01 | Verdict: promising | Sharpe: 1.4205 | Key: Extreme RSI bounds (20/80) did not outperform standard 25/60
Iter 157: EXP-20260405200000-01 | Verdict: rejected | Sharpe: -1.583 | Key: ATR-based conviction filter does NOT improve over EMA Trend Gate baseline
